"","subj","block","ttype","mag","amp","msrt","pcpd","bpcpd","corr","tlx","WM_mean","fTE_ML","bTE_ML","wm","slos","ints","ttypeC","ttypeE"
"1","c_P01","0","CONTROL",-0.97707889156902,67.3480779831933,-1.36596863503029,-0.0349887793144589,-0.497678253142721,1,10.6,5,5,5,"low",0.649241228183063,-11.5903130397197,"CONTROL","CONTROL"
"2","c_P01","0","DIFF",-0.298639366173384,83.9917749,-1.53065508893733,1.57013902313542,0.707761255499849,0,20.8,5,5,5,"low",1.25185328586342,-10.9263430570597,"DIFF","DIFF"
"3","c_P01","0","EASY",-0.392809659877199,78.2340932886598,-1.61736049717136,0.671190957872801,-0.178591545140869,1,14.8,5,5,5,"low",0.644249989150679,-11.1251866659022,"EASY","EASY"
"4","c_P01","1","CONTROL",-1.0540574177503,64.2147763619048,-1.49998073009007,0.118566150285986,-0.497678253142721,1,7.4,5,5,5,"low",0.800974412319022,-14.1705785469231,"CONTROL","CONTROL"
"5","c_P01","1","DIFF",0.0184257731752929,90.1058395913043,-1.25665608120436,1.38263581279828,0.390770752876399,0.25,18.6,5,5,5,"low",1.71206910696237,-13.8413237850994,"DIFF","DIFF"
"6","c_P01","1","EASY",-0.491251232738812,75.5566031538462,-1.33888843940999,0.345761531932598,-0.309154790287983,1,12.2,5,5,5,"low",1.85414555343555,-19.4660512855039,"EASY","EASY"
"7","c_P01","2","CONTROL",-0.435798584455296,76.8870412105263,-1.03905096603306,0.595192538330474,-0.497678253142721,1,11.4,5,5,5,"low",0.865340417596367,-13.0754154499844,"CONTROL","CONTROL"
"8","c_P01","2","DIFF",0.104919780204818,89.2965791923077,-1.08430154153436,0.922893109865823,-0.463295399361828,0.5,19.8,5,5,5,"low",2.00587329575096,-18.3352079334028,"DIFF","DIFF"
"9","c_P01","2","EASY",-0.106443944343679,83.5286154180328,-1.2655719443299,0.58622968427437,-0.580659582127567,1,19.2,5,5,5,"low",2.24413687782137,-21.5396656604904,"EASY","EASY"
"10","c_P01","3","CONTROL",-1.34468153127324,58.8125180872483,-1.01297665232541,0.357437883490119,-0.497678253142721,1,9.2,5,5,5,"low",0.232132698292,-11.4363043028934,"CONTROL","CONTROL"
"11","c_P01","3","DIFF",-0.261138965068601,83.6718005538462,-1.00924138341932,0.870529251522086,-0.355127735142016,0.75,19,5,5,5,"low",0.518140075332657,-7.23199553468413,"DIFF","DIFF"
"12","c_P01","3","EASY",-0.059865954811168,86.2851377007874,-1.18163220740681,0.433259979721901,-0.48423158375737,1,19.6,5,5,5,"low",1.4466765705589,-14.3853834759909,"EASY","EASY"
"13","c_P01","4","CONTROL",-0.361034945152415,78.8387178652482,-0.812340502967092,-0.212887771931555,-0.497678253142721,1,6.8,5,5,5,"low",1.00934019720306,-13.3884979549736,"CONTROL","CONTROL"
"14","c_P01","4","DIFF",0.315893850887986,91.6771633727273,-0.922080405421244,0.443628570934451,-0.0772416094474704,0.75,21,5,5,5,"low",-0.740978328204395,-0.455689167683292,"DIFF","DIFF"
"15","c_P01","4","EASY",0.76572586252099,102.834740963964,-1.13578898805317,0.794853319567471,-0.300628570163665,1,18.2,5,5,5,"low",0.626031436442481,-7.10213829991165,"EASY","EASY"
"16","c_P01","5","CONTROL",-0.523426288731639,78.9711932076923,-0.899245474947316,0.0488106360903353,-0.497678253142721,1,8.8,5,5,5,"low",1.37658617605474,-12.5163010416585,"CONTROL","CONTROL"
"17","c_P01","5","DIFF",-0.197048756921794,82.8196349732143,-0.502692153299849,1.02998418219159,0.14461617933834,1,18.4,5,5,5,"low",-0.489370900036706,-2.66687743577159,"DIFF","DIFF"
"18","c_P01","5","EASY",1.42195226927055,110.57782559434,-0.931280495700464,0.542250153710056,-0.202018156923258,1,16.4,5,5,5,"low",-1.76492878084199,9.32132673601199,"EASY","EASY"
"19","c_P02","0","CONTROL",-1.81084077924288,49.2610654872881,0.0150991678553799,0.637132293035183,-0.497678253142721,0.75,2.2,6,7,5,"low",-0.00566424094418052,-11.8260492811052,"CONTROL","CONTROL"
"20","c_P02","0","DIFF",-1.36789843855066,56.2443494154412,0.609474588460243,0.649432023511973,0.598977157438476,0,16,6,7,5,"low",0.515307038320156,-15.0278453054734,"DIFF","DIFF"
"21","c_P02","0","EASY",-1.55066794246358,52.7304829218241,0.862146480690554,-0.645288740817529,-0.146340773753748,1,7.8,6,7,5,"low",0.00417056865068944,-12.8447867106537,"EASY","EASY"
"22","c_P02","1","CONTROL",-1.75617757137987,49.969864340708,-0.0218846306443687,-0.395460861345464,-0.497678253142721,1,2.4,6,7,5,"low",0.118694722381841,-12.6163015742429,"CONTROL","CONTROL"
"23","c_P02","1","DIFF",-0.769393040902124,69.0708978618182,0.756561132589048,-0.127236029763071,0.655080731424566,0.5,14.6,6,7,5,"low",1.86716379348373,-20.6315584891789,"DIFF","DIFF"
"24","c_P02","1","EASY",-1.19406663062828,58.2566206923077,0.54335045142491,-0.29889762167599,-0.0744057717617867,1,6.8,6,7,5,"low",0.158809744558746,-14.2225421323162,"EASY","EASY"
"25","c_P02","2","CONTROL",-1.84708978821352,49.5995303732719,-0.256863886507301,0.723924399078971,-0.497678253142721,1,2.4,6,7,5,"low",0.684617223115099,-13.9320131774664,"CONTROL","CONTROL"
"26","c_P02","2","DIFF",-1.17781694033891,60.6374437246964,0.415790917492164,0.597900414689021,0.882450384245734,0,15.6,6,7,5,"low",0.236461562291,-12.5321140275761,"DIFF","DIFF"
"27","c_P02","2","EASY",-1.30221210310047,57.4141348387097,0.671692113979116,1.57132911810632,-0.0814219358312757,1,9.2,6,7,5,"low",-0.243913735426391,-11.1348495169469,"EASY","EASY"
